,X,Y,value,,,,,,,,,,,,,,,
316,T2B,T7A,0.805759558,,,,,,,,,,,,,,,
317,T3A,T7A,0.710242137,,,,,,,,,,,,,,,
318,T3B,T7A,0.853853979,,,,,,,,,,,,,,,
319,T4A,T7A,0.936531397,,,,,,,,,,,,,,,
320,T4B,T7A,0.583142348,,,,,,,,,,,,,,,
321,T5A,T7A,0.915375704,,,,,,,,,,,,,,,
322,T5B,T7A,0.901166996,,,,,,,,,,,,,,,
323,T6A,T7A,0.91042537,,,,,,,,,,,,,,,
324,T6B,T7A,0.909843937,,,,,,,,,,,,,,,
325,T7A,T7A,0,,,,,,,,,,,,,,,
326,T7B,T7A,0.628267438,,,,,,,,,,,,,,,
327,T8A,T7A,0.535211598,,,,,,,,,,,,,,,
328,T8B,T7A,0.899336623,,,,,,,,,,,,,,,
329,T9A,T7A,0.834722542,,,,,,,,,,,,,,,
330,T9B,T7A,0.908450453,,,,,,,,,,,,,,,
331,T10A,T7A,0.907106093,,,,,,,,,,,,,,,
332,T10B,T7A,0.726888517,,,,,,,,,,,,,,,
333,T11A,T7A,0.918538701,,,,,,,,,,,,,,,
334,T11B,T7A,0.88267981,,,,,,,,,,,,,,,
335,T12A,T7A,0.838654335,,,,,,,,,,,,,,,
336,T12B,T7A,0.90305084,,,,,,,,,,,,,,,
337,T13A,T7A,0.847230856,,,,,,,,,,,,,,,
338,T13B,T7A,0.917972265,,,,,,,,,,,,,,,
339,T1A,T7B,0.986116243,,,,,,,,,,,,,,,
340,T1B,T7B,0.969748734,,,,,,,,,,,,,,,
341,T2A,T7B,0.674189362,,,,,,,,,,,,,,,
342,T2B,T7B,0.336247093,,,,,,,,,,,,,,,
343,T3A,T7B,0.280438629,,,,,,,,,,,,,,,
344,T3B,T7B,0.426295781,,,,,,,,,,,,,,,
345,T4A,T7B,0.454865781,,,,,,,,,,,,,,,
346,T4B,T7B,0.188216358,,,,,,,,,,,,,,,
347,T5A,T7B,0.432881518,,,,,,,,,,,,,,,
348,T5B,T7B,0.423225596,,,,,,,,,,,,,,,
349,T6A,T7B,0.426727237,,,,,,,,,,,,,,,
350,T6B,T7B,0.426720934,,,,,,,,,,,,,,,
351,T7A,T7B,0.628267438,,,,,,,,,,,,,,,
352,T7B,T7B,0,,,,,,,,,,,,,,,
353,T8A,T7B,0.535220727,,,,,,,,,,,,,,,
354,T8B,T7B,0.832000348,,,,,,,,,,,,,,,
355,T9A,T7B,0.354422805,,,,,,,,,,,,,,,
356,T9B,T7B,0.42455322,,,,,,,,,,,,,,,
357,T10A,T7B,0.76003456,,,,,,,,,,,,,,,
358,T10B,T7B,0.57773078,,,,,,,,,,,,,,,
359,T11A,T7B,0.434496924,,,,,,,,,,,,,,,
360,T11B,T7B,0.403343187,,,,,,,,,,,,,,,
361,T12A,T7B,0.36316604,,,,,,,,,,,,,,,
362,T12B,T7B,0.548681505,,,,,,,,,,,,,,,
363,T13A,T7B,0.544051992,,,,,,,,,,,,,,,
364,T13B,T7B,0.544009607,,,,,,,,,,,,,,,
365,T1A,T8A,0.982953464,,,,,,,,,,,,,,,
366,T1B,T8A,0.645262243,,,,,,,,,,,,,,,
367,T2A,T8A,0.541200904,,,,,,,,,,,,,,,
368,T2B,T8A,0.697515813,,,,,,,,,,,,,,,
369,T3A,T8A,0.606652683,,,,,,,,,,,,,,,
370,T3B,T8A,0.755056187,,,,,,,,,,,,,,,
371,T4A,T8A,0.790591866,,,,,,,,,,,,,,,
372,T4B,T8A,0.445096398,,,,,,,,,,,,,,,
373,T5A,T8A,0.793850936,,,,,,,,,,,,,,,
374,T5B,T8A,0.77873954,,,,,,,,,,,,,,,
375,T6A,T8A,0.79260656,,,,,,,,,,,,,,,
376,T6B,T8A,0.792569174,,,,,,,,,,,,,,,
377,T7A,T8A,0.535211598,,,,,,,,,,,,,,,
378,T7B,T8A,0.535220727,,,,,,,,,,,,,,,
379,T8A,T8A,0,,,,,,,,,,,,,,,
380,T8B,T8A,0.804578651,,,,,,,,,,,,,,,
381,T9A,T8A,0.710396244,,,,,,,,,,,,,,,
382,T9B,T8A,0.789797205,,,,,,,,,,,,,,,
383,T10A,T8A,0.790859869,,,,,,,,,,,,,,,
384,T10B,T8A,0.575681092,,,,,,,,,,,,,,,
385,T11A,T8A,0.792270307,,,,,,,,,,,,,,,
386,T11B,T8A,0.775806508,,,,,,,,,,,,,,,
387,T12A,T8A,0.736742018,,,,,,,,,,,,,,,
388,T12B,T8A,0.716583346,,,,,,,,,,,,,,,
389,T13A,T8A,0.402668942,,,,,,,,,,,,,,,
390,T13B,T8A,0.4539131,,,,,,,,,,,,,,,
391,T1A,T8B,0.6209692,,,,,,,,,,,,,,,
392,T1B,T8B,0.641072663,,,,,,,,,,,,,,,
393,T2A,T8B,0.932538092,,,,,,,,,,,,,,,
394,T2B,T8B,0.845047927,,,,,,,,,,,,,,,
395,T3A,T8B,0.771758211,,,,,,,,,,,,,,,
396,T3B,T8B,0.529927837,,,,,,,,,,,,,,,
397,T4A,T8B,0.85046319,,,,,,,,,,,,,,,
398,T4B,T8B,0.83641185,,,,,,,,,,,,,,,
399,T5A,T8B,0.846981764,,,,,,,,,,,,,,,
400,T5B,T8B,0.84289456,,,,,,,,,,,,,,,
401,T6A,T8B,0.845412655,,,,,,,,,,,,,,,
402,T6B,T8B,0.845413959,,,,,,,,,,,,,,,
403,T7A,T8B,0.899336623,,,,,,,,,,,,,,,
404,T7B,T8B,0.832000348,,,,,,,,,,,,,,,
405,T8A,T8B,0.804578651,,,,,,,,,,,,,,,
406,T8B,T8B,0,,,,,,,,,,,,,,,
407,T9A,T8B,0.833216032,,,,,,,,,,,,,,,
408,T9B,T8B,0.844785359,,,,,,,,,,,,,,,
409,T10A,T8B,0.496883083,,,,,,,,,,,,,,,
410,T10B,T8B,0.844373248,,,,,,,,,,,,,,,
411,T11A,T8B,0.840127372,,,,,,,,,,,,,,,
412,T11B,T8B,0.840862043,,,,,,,,,,,,,,,
413,T12A,T8B,0.845696307,,,,,,,,,,,,,,,
414,T12B,T8B,0.540257352,,,,,,,,,,,,,,,
415,T13A,T8B,0.842344208,,,,,,,,,,,,,,,
416,T13B,T8B,0.843572717,,,,,,,,,,,,,,,
417,T1A,T9A,0.988134632,,,,,,,,,,,,,,,
418,T1B,T9A,0.981055274,,,,,,,,,,,,,,,
419,T2A,T9A,0.850330602,,,,,,,,,,,,,,,
420,T2B,T9A,0.173870498,,,,,,,,,,,,,,,
421,T3A,T9A,0.389776773,,,,,,,,,,,,,,,
422,T3B,T9A,0.461412828,,,,,,,,,,,,,,,
423,T4A,T9A,0.241443259,,,,,,,,,,,,,,,
424,T4B,T9A,0.280774665,,,,,,,,,,,,,,,
425,T5A,T9A,0.232146847,,,,,,,,,,,,,,,
426,T5B,T9A,0.223741822,,,,,,,,,,,,,,,
427,T6A,T9A,0.219821984,,,,,,,,,,,,,,,
428,T6B,T9A,0.227770122,,,,,,,,,,,,,,,
429,T7A,T9A,0.834722542,,,,,,,,,,,,,,,
430,T7B,T9A,0.354422805,,,,,,,,,,,,,,,
431,T8A,T9A,0.710396244,,,,,,,,,,,,,,,
432,T8B,T9A,0.833216032,,,,,,,,,,,,,,,
433,T9A,T9A,0,,,,,,,,,,,,,,,
434,T9B,T9A,0.218082248,,,,,,,,,,,,,,,
435,T10A,T9A,0.761713,,,,,,,,,,,,,,,
436,T10B,T9A,0.707098485,,,,,,,,,,,,,,,
437,T11A,T9A,0.229562675,,,,,,,,,,,,,,,
438,T11B,T9A,0.343729432,,,,,,,,,,,,,,,
439,T12A,T9A,0.21637077,,,,,,,,,,,,,,,
440,T12B,T9A,0.548301128,,,,,,,,,,,,,,,
441,T13A,T9A,0.529174256,,,,,,,,,,,,,,,
442,T13B,T9A,0.542824135,,,,,,,,,,,,,,,
443,T1A,T9B,0.988944726,,,,,,,,,,,,,,,
444,T1B,T9B,0.974964245,,,,,,,,,,,,,,,
445,T2A,T9B,0.924979025,,,,,,,,,,,,,,,
446,T2B,T9B,0.270565566,,,,,,,,,,,,,,,
447,T3A,T9B,0.456504662,,,,,,,,,,,,,,,
448,T3B,T9B,0.477091312,,,,,,,,,,,,,,,
449,T4A,T9B,0.065451127,,,,,,,,,,,,,,,
450,T4B,T9B,0.355107266,,,,,,,,,,,,,,,
451,T5A,T9B,0.088990371,,,,,,,,,,,,,,,
452,T5B,T9B,0.097276284,,,,,,,,,,,,,,,
453,T6A,T9B,0.050849219,,,,,,,,,,,,,,,
454,T6B,T9B,0.050170409,,,,,,,,,,,,,,,
455,T7A,T9B,0.908450453,,,,,,,,,,,,,,,
456,T7B,T9B,0.42455322,,,,,,,,,,,,,,,
457,T8A,T9B,0.789797205,,,,,,,,,,,,,,,
458,T8B,T9B,0.844785359,,,,,,,,,,,,,,,
459,T9A,T9B,0.218082248,,,,,,,,,,,,,,,
460,T9B,T9B,0,,,,,,,,,,,,,,,
461,T10A,T9B,0.763135827,,,,,,,,,,,,,,,
462,T10B,T9B,0.778303954,,,,,,,,,,,,,,,
463,T11A,T9B,0.052221401,,,,,,,,,,,,,,,
464,T11B,T9B,0.347671007,,,,,,,,,,,,,,,
465,T12A,T9B,0.270402982,,,,,,,,,,,,,,,
466,T12B,T9B,0.57906536,,,,,,,,,,,,,,,
467,T13A,T9B,0.598895603,,,,,,,,,,,,,,,
468,T13B,T9B,0.544834047,,,,,,,,,,,,,,,
469,T1A,T10A,0.444792314,,,,,,,,,,,,,,,
470,T1B,T10A,0.562711327,,,,,,,,,,,,,,,
471,T2A,T10A,0.932397679,,,,,,,,,,,,,,,
472,T2B,T10A,0.76460256,,,,,,,,,,,,,,,
473,T3A,T10A,0.70328863,,,,,,,,,,,,,,,
474,T3B,T10A,0.463907449,,,,,,,,,,,,,,,
475,T4A,T10A,0.769426174,,,,,,,,,,,,,,,
476,T4B,T10A,0.763580977,,,,,,,,,,,,,,,
477,T5A,T10A,0.764655161,,,,,,,,,,,,,,,
478,T5B,T10A,0.760896168,,,,,,,,,,,,,,,
479,T6A,T10A,0.7631743,,,,,,,,,,,,,,,
480,T6B,T10A,0.763227987,,,,,,,,,,,,,,,
481,T7A,T10A,0.907106093,,,,,,,,,,,,,,,
482,T7B,T10A,0.76003456,,,,,,,,,,,,,,,
483,T8A,T10A,0.790859869,,,,,,,,,,,,,,,
484,T8B,T10A,0.496883083,,,,,,,,,,,,,,,
485,T9A,T10A,0.761713,,,,,,,,,,,,,,,
486,T9B,T10A,0.763135827,,,,,,,,,,,,,,,
487,T10A,T10A,0,,,,,,,,,,,,,,,
488,T10B,T10A,0.569722868,,,,,,,,,,,,,,,
489,T11A,T10A,0.762830656,,,,,,,,,,,,,,,
490,T11B,T10A,0.761746039,,,,,,,,,,,,,,,
491,T12A,T10A,0.762923468,,,,,,,,,,,,,,,
492,T12B,T10A,0.767566023,,,,,,,,,,,,,,,
493,T13A,T10A,0.7637979,,,,,,,,,,,,,,,
494,T13B,T10A,0.761873845,,,,,,,,,,,,,,,
495,T1A,T10B,0.978853435,,,,,,,,,,,,,,,
496,T1B,T10B,0.978202013,,,,,,,,,,,,,,,
497,T2A,T10B,0.729329667,,,,,,,,,,,,,,,
498,T2B,T10B,0.684148934,,,,,,,,,,,,,,,
499,T3A,T10B,0.604773187,,,,,,,,,,,,,,,
500,T3B,T10B,0.70674919,,,,,,,,,,,,,,,
501,T4A,T10B,0.781376747,,,,,,,,,,,,,,,
502,T4B,T10B,0.580179103,,,,,,,,,,,,,,,
503,T5A,T10B,0.783081053,,,,,,,,,,,,,,,
504,T5B,T10B,0.768426109,,,,,,,,,,,,,,,
505,T6A,T10B,0.781056796,,,,,,,,,,,,,,,
506,T6B,T10B,0.781415871,,,,,,,,,,,,,,,
507,T7A,T10B,0.726888517,,,,,,,,,,,,,,,
508,T7B,T10B,0.57773078,,,,,,,,,,,,,,,
509,T8A,T10B,0.575681092,,,,,,,,,,,,,,,
510,T8B,T10B,0.844373248,,,,,,,,,,,,,,,
511,T9A,T10B,0.707098485,,,,,,,,,,,,,,,
512,T9B,T10B,0.778303954,,,,,,,,,,,,,,,
513,T10A,T10B,0.569722868,,,,,,,,,,,,,,,
514,T10B,T10B,0,,,,,,,,,,,,,,,
515,T11A,T10B,0.780418197,,,,,,,,,,,,,,,
516,T11B,T10B,0.766677245,,,,,,,,,,,,,,,
517,T12A,T10B,0.724679071,,,,,,,,,,,,,,,
518,T12B,T10B,0.746167757,,,,,,,,,,,,,,,
519,T13A,T10B,0.725790423,,,,,,,,,,,,,,,
520,T13B,T10B,0.777683613,,,,,,,,,,,,,,,
521,T1A,T11A,0.991390223,,,,,,,,,,,,,,,
522,T1B,T11A,0.984502141,,,,,,,,,,,,,,,
523,T2A,T11A,0.924914035,,,,,,,,,,,,,,,
524,T2B,T11A,0.288783881,,,,,,,,,,,,,,,
525,T3A,T11A,0.464694503,,,,,,,,,,,,,,,
526,T3B,T11A,0.476139066,,,,,,,,,,,,,,,
527,T4A,T11A,0.030512096,,,,,,,,,,,,,,,
528,T4B,T11A,0.356770057,,,,,,,,,,,,,,,
529,T5A,T11A,0.081045058,,,,,,,,,,,,,,,
530,T5B,T11A,0.09092812,,,,,,,,,,,,,,,
531,T6A,T11A,0.029074271,,,,,,,,,,,,,,,
532,T6B,T11A,0.038238529,,,,,,,,,,,,,,,
533,T7A,T11A,0.918538701,,,,,,,,,,,,,,,
534,T7B,T11A,0.434496924,,,,,,,,,,,,,,,
535,T8A,T11A,0.792270307,,,,,,,,,,,,,,,
536,T8B,T11A,0.840127372,,,,,,,,,,,,,,,
537,T9A,T11A,0.229562675,,,,,,,,,,,,,,,
538,T9B,T11A,0.052221401,,,,,,,,,,,,,,,
539,T10A,T11A,0.762830656,,,,,,,,,,,,,,,
540,T10B,T11A,0.780418197,,,,,,,,,,,,,,,
541,T11A,T11A,0,,,,,,,,,,,,,,,
542,T11B,T11A,0.347577325,,,,,,,,,,,,,,,
543,T12A,T11A,0.286343817,,,,,,,,,,,,,,,
544,T12B,T11A,0.585050971,,,,,,,,,,,,,,,
545,T13A,T11A,0.608697372,,,,,,,,,,,,,,,
546,T13B,T11A,0.553176256,,,,,,,,,,,,,,,
547,T1A,T11B,0.986316865,,,,,,,,,,,,,,,
548,T1B,T11B,0.839639837,,,,,,,,,,,,,,,
549,T2A,T11B,0.912662856,,,,,,,,,,,,,,,
550,T2B,T11B,0.295847371,,,,,,,,,,,,,,,
551,T3A,T11B,0.436738975,,,,,,,,,,,,,,,
552,T3B,T11B,0.456130589,,,,,,,,,,,,,,,
553,T4A,T11B,0.370399722,,,,,,,,,,,,,,,
554,T4B,T11B,0.351508901,,,,,,,,,,,,,,,
555,T5A,T11B,0.273413828,,,,,,,,,,,,,,,
556,T5B,T11B,0.274022866,,,,,,,,,,,,,,,
557,T6A,T11B,0.334002869,,,,,,,,,,,,,,,
558,T6B,T11B,0.317212598,,,,,,,,,,,,,,,
559,T7A,T11B,0.88267981,,,,,,,,,,,,,,,
560,T7B,T11B,0.403343187,,,,,,,,,,,,,,,
561,T8A,T11B,0.775806508,,,,,,,,,,,,,,,
562,T8B,T11B,0.840862043,,,,,,,,,,,,,,,
563,T9A,T11B,0.343729432,,,,,,,,,,,,,,,
564,T9B,T11B,0.347671007,,,,,,,,,,,,,,,
565,T10A,T11B,0.761746039,,,,,,,,,,,,,,,
566,T10B,T11B,0.766677245,,,,,,,,,,,,,,,
567,T11A,T11B,0.347577325,,,,,,,,,,,,,,,
568,T11B,T11B,0,,,,,,,,,,,,,,,
569,T12A,T11B,0.332984981,,,,,,,,,,,,,,,
570,T12B,T11B,0.570327559,,,,,,,,,,,,,,,
571,T13A,T11B,0.471716261,,,,,,,,,,,,,,,
572,T13B,T11B,0.544480405,,,,,,,,,,,,,,,
573,T1A,T12A,0.990383637,,,,,,,,,,,,,,,
574,T1B,T12A,0.971408047,,,,,,,,,,,,,,,
575,T2A,T12A,0.871327407,,,,,,,,,,,,,,,
576,T2B,T12A,0.120930511,,,,,,,,,,,,,,,
577,T3A,T12A,0.399419436,,,,,,,,,,,,,,,
578,T3B,T12A,0.463698133,,,,,,,,,,,,,,,
579,T4A,T12A,0.301580412,,,,,,,,,,,,,,,
580,T4B,T12A,0.30023366,,,,,,,,,,,,,,,
581,T5A,T12A,0.292003173,,,,,,,,,,,,,,,
582,T5B,T12A,0.28459104,,,,,,,,,,,,,,,
583,T6A,T12A,0.286713978,,,,,,,,,,,,,,,
584,T6B,T12A,0.28481405,,,,,,,,,,,,,,,
585,T7A,T12A,0.838654335,,,,,,,,,,,,,,,
586,T7B,T12A,0.36316604,,,,,,,,,,,,,,,
587,T8A,T12A,0.736742018,,,,,,,,,,,,,,,
588,T8B,T12A,0.845696307,,,,,,,,,,,,,,,
589,T9A,T12A,0.21637077,,,,,,,,,,,,,,,
590,T9B,T12A,0.270402982,,,,,,,,,,,,,,,
591,T10A,T12A,0.762923468,,,,,,,,,,,,,,,
592,T10B,T12A,0.724679071,,,,,,,,,,,,,,,
593,T11A,T12A,0.286343817,,,,,,,,,,,,,,,
594,T11B,T12A,0.332984981,,,,,,,,,,,,,,,
595,T12A,T12A,0,,,,,,,,,,,,,,,
596,T12B,T12A,0.550467538,,,,,,,,,,,,,,,
597,T13A,T12A,0.545198339,,,,,,,,,,,,,,,
598,T13B,T12A,0.545320495,,,,,,,,,,,,,,,
599,T1A,T12B,0.962797835,,,,,,,,,,,,,,,
600,T1B,T12B,0.968518486,,,,,,,,,,,,,,,
601,T2A,T12B,0.906337079,,,,,,,,,,,,,,,
602,T2B,T12B,0.550478405,,,,,,,,,,,,,,,
603,T3A,T12B,0.552572217,,,,,,,,,,,,,,,
604,T3B,T12B,0.564592997,,,,,,,,,,,,,,,
605,T4A,T12B,0.58510118,,,,,,,,,,,,,,,
606,T4B,T12B,0.552450279,,,,,,,,,,,,,,,
607,T5A,T12B,0.587033712,,,,,,,,,,,,,,,
608,T5B,T12B,0.577365618,,,,,,,,,,,,,,,
609,T6A,T12B,0.58545091,,,,,,,,,,,,,,,
610,T6B,T12B,0.586146673,,,,,,,,,,,,,,,
611,T7A,T12B,0.90305084,,,,,,,,,,,,,,,
612,T7B,T12B,0.548681505,,,,,,,,,,,,,,,
613,T8A,T12B,0.716583346,,,,,,,,,,,,,,,
614,T8B,T12B,0.540257352,,,,,,,,,,,,,,,
615,T9A,T12B,0.548301128,,,,,,,,,,,,,,,
616,T9B,T12B,0.57906536,,,,,,,,,,,,,,,
617,T10A,T12B,0.767566023,,,,,,,,,,,,,,,
618,T10B,T12B,0.746167757,,,,,,,,,,,,,,,
619,T11A,T12B,0.585050971,,,,,,,,,,,,,,,
620,T11B,T12B,0.570327559,,,,,,,,,,,,,,,
621,T12A,T12B,0.550467538,,,,,,,,,,,,,,,
622,T12B,T12B,0,,,,,,,,,,,,,,,
623,T13A,T12B,0.565695872,,,,,,,,,,,,,,,
624,T13B,T12B,0.566116026,,,,,,,,,,,,,,,
625,T1A,T13A,0.986027778,,,,,,,,,,,,,,,
626,T1B,T13A,0.481261982,,,,,,,,,,,,,,,
627,T2A,T13A,0.878816702,,,,,,,,,,,,,,,
628,T2B,T13A,0.497874237,,,,,,,,,,,,,,,
629,T3A,T13A,0.53655748,,,,,,,,,,,,,,,
630,T3B,T13A,0.581769948,,,,,,,,,,,,,,,
631,T4A,T13A,0.613782903,,,,,,,,,,,,,,,
632,T4B,T13A,0.559200991,,,,,,,,,,,,,,,
633,T5A,T13A,0.612627861,,,,,,,,,,,,,,,
634,T5B,T13A,0.602031865,,,,,,,,,,,,,,,
635,T6A,T13A,0.603349708,,,,,,,,,,,,,,,
636,T6B,T13A,0.604453235,,,,,,,,,,,,,,,
637,T7A,T13A,0.847230856,,,,,,,,,,,,,,,
638,T7B,T13A,0.544051992,,,,,,,,,,,,,,,
639,T8A,T13A,0.402668942,,,,,,,,,,,,,,,
640,T8B,T13A,0.842344208,,,,,,,,,,,,,,,
641,T9A,T13A,0.529174256,,,,,,,,,,,,,,,
642,T9B,T13A,0.598895603,,,,,,,,,,,,,,,
643,T10A,T13A,0.7637979,,,,,,,,,,,,,,,
644,T10B,T13A,0.725790423,,,,,,,,,,,,,,,
645,T11A,T13A,0.608697372,,,,,,,,,,,,,,,
646,T11B,T13A,0.471716261,,,,,,,,,,,,,,,
647,T12A,T13A,0.545198339,,,,,,,,,,,,,,,
648,T12B,T13A,0.565695872,,,,,,,,,,,,,,,
649,T13A,T13A,0,,,,,,,,,,,,,,,
650,T13B,T13A,0.213754646,,,,,,,,,,,,,,,
651,T1A,T13B,0.987739692,,,,,,,,,,,,,,,
652,T1B,T13B,0.588990371,,,,,,,,,,,,,,,
653,T2A,T13B,0.926259482,,,,,,,,,,,,,,,
654,T2B,T13B,0.541440216,,,,,,,,,,,,,,,
655,T3A,T13B,0.544108071,,,,,,,,,,,,,,,
656,T3B,T13B,0.546877214,,,,,,,,,,,,,,,
657,T4A,T13B,0.563312539,,,,,,,,,,,,,,,
658,T4B,T13B,0.55706436,,,,,,,,,,,,,,,
659,T5A,T13B,0.556754624,,,,,,,,,,,,,,,
660,T5B,T13B,0.554303041,,,,,,,,,,,,,,,
661,T6A,T13B,0.543840068,,,,,,,,,,,,,,,
662,T6B,T13B,0.548901037,,,,,,,,,,,,,,,
663,T7A,T13B,0.917972265,,,,,,,,,,,,,,,
664,T7B,T13B,0.544009607,,,,,,,,,,,,,,,
665,T8A,T13B,0.4539131,,,,,,,,,,,,,,,
666,T8B,T13B,0.843572717,,,,,,,,,,,,,,,
667,T9A,T13B,0.542824135,,,,,,,,,,,,,,,
668,T9B,T13B,0.544834047,,,,,,,,,,,,,,,
669,T10A,T13B,0.761873845,,,,,,,,,,,,,,,
670,T10B,T13B,0.777683613,,,,,,,,,,,,,,,
671,T11A,T13B,0.553176256,,,,,,,,,,,,,,,
672,T11B,T13B,0.544480405,,,,,,,,,,,,,,,
673,T12A,T13B,0.545320495,,,,,,,,,,,,,,,
674,T12B,T13B,0.566116026,,,,,,,,,,,,,,,
675,T13A,T13B,0.213754646,,,,,,,,,,,,,,,
676,T13B,T13B,0,,,,,,,,,,,,,,,
